iter	RMSE
0	29210.48706
1	28145.44485
2	27255.36186
3	26352.75694
4	25504.51648
5	24640.53561
6	23960.98377
7	23358.64483
8	22794.50509
9	22241.53639
10	21666.5983
11	21094.51767
12	20612.83781
13	20127.98616
14	19744.75921
15	19312.1602
16	18927.88284
17	18636.76842
18	18274.44633
19	17967.27914
20	17688.84743
21	17375.93384
22	17091.20852
23	16838.26975
24	16565.63788
25	16337.33822
26	16191.48735
27	15984.81443
28	15790.63822
29	15595.55759
30	15374.26075
31	15200.33667
32	14989.63165
33	14821.15671
34	14673.96794
35	14506.49017
36	14363.77516
37	14260.30877
38	14146.57003
39	14017.20569
40	13903.76004
41	13808.82971
42	13703.07971
43	13613.80033
44	13520.06225
45	13419.36202
46	13319.81857
47	13249.82406
48	13185.47381
49	13115.93449
50	13023.12571
51	12938.77097
52	12856.02235
53	12795.50847
54	12736.86471
55	12677.71073
56	12617.53365
57	12548.00906
58	12497.53037
59	12434.09132
60	12360.6686
61	12299.44399
62	12254.19296
63	12202.12083
64	12147.94951
65	12094.18441
66	12041.14658
67	12003.64192
68	11951.72373
69	11895.66852
70	11845.2358
71	11803.65705
72	11770.5042
73	11726.86835
74	11691.98427
75	11658.5945
76	11628.44184
77	11590.60358
78	11565.71788
79	11536.16695
80	11505.59335
81	11475.77299
82	11431.5609
83	11396.55745
84	11357.47743
85	11310.11797
86	11268.177
87	11242.20076
88	11232.60094
89	11210.04194
90	11180.35142
91	11159.3606
92	11131.82616
93	11121.72066
94	11082.16815
95	11052.69248
96	11014.98436
97	10969.35299
98	10919.42025
99	10880.16258
100	10855.24763
101	10838.33389
102	10796.55921
103	10765.99567
104	10724.24284
105	10697.75085
106	10665.51598
107	10657.71608
108	10618.57258
109	10584.89669
110	10548.16874
111	10541.53752
112	10519.0766
113	10506.35308
114	10467.27809
115	10457.29889
116	10431.31214
117	10395.68275
118	10371.17788
119	10356.42688
120	10336.76542
121	10327.70477
122	10312.93121
123	10296.70828
124	10279.91002
125	10264.96057
126	10258.75748
127	10236.46451
128	10211.1324
129	10188.68964
130	10171.40481
131	10158.97079
132	10152.51037
133	10133.18319
134	10117.42068
135	10098.3038
136	10082.97332
137	10056.48562
138	10035.3659
139	10015.14437
140	9998.098341
141	9974.570554
142	9957.090342
143	9941.718345
144	9911.625639
145	9908.158824
146	9904.260759
147	9890.489402
148	9864.760347
149	9843.602254
150	9831.255656
151	9817.413392
152	9792.425833
153	9777.419308
154	9759.415109
155	9729.753763
156	9704.961814
157	9676.160876
158	9655.808629
159	9625.748041
160	9611.554888
161	9596.739789
162	9576.412882
163	9553.566455
164	9541.578759
165	9520.430315
166	9505.57104
167	9480.100234
168	9459.451346
169	9444.841232
170	9430.947558
171	9404.297084
172	9380.864667
173	9373.796482
174	9369.782068
175	9351.792595
176	9330.230381
177	9326.980338
178	9305.537629
179	9301.866347
180	9290.451974
181	9277.487024
182	9264.865973
183	9250.706423
184	9241.758681
185	9231.221302
186	9217.579434
187	9206.704812
188	9196.834933
189	9164.780015
190	9138.463409
191	9126.02873
192	9117.127261
193	9107.247344
194	9086.707351
195	9075.479831
196	9067.368641
197	9057.467707
198	9046.709286
199	9036.800782
200	9026.829946
201	9017.758992
202	9011.009991
203	9002.317488
204	8995.327977
205	8971.065775
206	8964.958376
207	8959.059914
208	8952.659011
209	8932.476736
210	8912.638296
211	8906.067095
212	8895.118431
213	8889.734314
214	8883.833813
215	8863.003988
216	8831.983951
217	8815.693967
218	8807.095921
219	8799.671572
220	8792.55915
221	8785.753028
222	8780.666527
223	8776.265475
224	8769.669915
225	8752.907972
226	8744.625915
227	8736.610518
228	8729.816664
229	8702.024679
230	8698.150923
231	8691.453394
232	8683.621497
233	8679.892447
234	8646.567573
235	8620.551628
236	8615.01811
237	8601.710848
238	8595.294729
239	8571.080656
240	8540.073613
241	8517.216638
242	8512.897923
243	8505.270886
244	8488.24542
245	8484.168185
246	8473.873054
247	8451.498985
248	8435.697706
249	8427.264387
250	8416.828339
251	8406.65292
252	8390.917221
253	8383.548529
254	8370.77937
255	8359.089378
256	8331.965242
257	8309.71462
258	8293.212243
