iter	Passed	Remaining
0	6	6168
1	12	6044
2	17	5664
3	21	5338
4	26	5296
5	31	5234
6	36	5165
7	41	5128
8	46	5121
9	50	5043
10	55	4996
11	60	4965
12	65	4942
13	69	4918
14	76	5021
15	82	5056
16	87	5081
17	93	5121
18	99	5127
19	104	5140
20	110	5136
21	115	5124
22	119	5090
23	125	5092
24	130	5103
25	135	5090
26	141	5090
27	146	5096
28	151	5066
29	155	5041
30	161	5042
31	165	5017
32	170	4999
33	176	5008
34	180	4984
35	185	4961
36	190	4968
37	195	4949
38	200	4930
39	205	4943
40	210	4931
41	215	4912
42	220	4911
43	225	4899
44	230	4884
45	235	4873
46	240	4873
47	244	4853
48	250	4853
49	255	4857
50	260	4844
51	265	4832
52	270	4828
53	274	4815
54	279	4809
55	286	4824
56	290	4811
57	295	4802
58	300	4793
59	305	4788
60	310	4779
61	315	4769
62	320	4768
63	325	4763
64	330	4752
65	335	4754
66	341	4750
67	346	4743
68	351	4741
69	357	4749
70	362	4737
71	367	4736
72	372	4729
73	376	4717
74	381	4707
75	386	4701
76	391	4690
77	395	4677
78	401	4676
79	405	4667
80	411	4665
81	417	4672
82	423	4678
83	428	4670
84	434	4679
85	439	4674
86	445	4670
87	450	4671
88	455	4666
89	461	4670
90	468	4675
91	473	4674
92	479	4677
93	484	4671
94	489	4665
95	495	4669
96	500	4663
97	506	4659
98	512	4661
99	517	4655
100	521	4645
101	527	4643
102	532	4633
103	536	4622
104	541	4612
105	546	4611
106	551	4602
107	557	4603
108	562	4598
109	567	4589
110	571	4580
111	578	4583
112	582	4573
113	587	4565
114	593	4563
115	597	4553
116	602	4544
117	608	4545
118	612	4537
119	617	4530
120	622	4525
121	627	4516
122	631	4506
123	636	4497
124	641	4490
125	646	4482
126	651	4476
127	656	4474
128	661	4466
129	666	4458
130	670	4449
131	675	4442
132	680	4439
133	685	4430
134	691	4428
135	695	4419
136	700	4410
137	705	4408
138	711	4406
139	715	4398
140	722	4402
141	727	4396
142	732	4392
143	738	4389
144	743	4381
145	747	4372
146	754	4376
147	759	4369
148	766	4375
149	771	4371
150	775	4362
151	781	4360
152	787	4357
153	792	4351
154	796	4343
155	802	4339
156	807	4336
157	813	4332
158	818	4330
159	824	4326
160	829	4323
161	835	4324
162	841	4322
163	846	4316
164	852	4314
165	858	4314
166	864	4313
167	870	4311
168	876	4308
169	882	4309
170	888	4306
171	894	4304
172	900	4305
173	906	4305
174	913	4306
175	919	4306
176	926	4307
177	933	4312
178	940	4312
179	947	4314
180	953	4314
181	959	4311
182	967	4320
183	973	4317
184	980	4318
185	986	4316
186	992	4313
187	998	4311
188	1004	4312
189	1012	4316
190	1018	4314
191	1027	4324
192	1033	4322
193	1040	4321
194	1046	4320
195	1052	4317
196	1058	4315
197	1065	4314
198	1070	4310
199	1076	4304
200	1081	4300
201	1086	4291
202	1091	4285
203	1096	4278
204	1101	4270
205	1108	4270
206	1113	4263
207	1118	4259
208	1124	4256
